SalePrice,SqFtTotLiving,Latitude,Longitude,SqFt2ndFloor,YrBuilt,SqFtFinBasement,SqFtDeck,SqFtGarageBasement,BrickStone,SqFtOpenPorch
600000,1540,47.5587699,-122.3632249,520,2016,0,490,0,0,0
1320000,2340,47.6076199,-122.1926516,0,1959,670,410,530,0,0
690000,1980,47.5655485,-122.3163252,0,1929,600,210,0,0,110
250000,1280,47.3069109,-122.368774,0,1966,0,0,0,0,100
365000,990,47.5135674,-122.3182361,0,1932,0,0,0,100,0
590000,2110,47.7710658,-122.1201572,0,1977,700,230,300,0,0
1340000,2720,47.5655682,-122.1541547,0,1962,1000,0,0,0,210
1050000,2450,47.6825956,-122.2667885,0,1949,1200,450,0,0,70
860000,1810,47.5982339,-122.3068992,580,2019,580,610,0,0,0
575000,1120,47.7663977,-122.311379,0,1977,320,120,0,0,0
1049950,5250,47.5057655,-122.1477153,1970,2016,1390,0,0,0,340
1674990,3170,47.6993931,-122.1641189,1740,2018,0,0,0,0,0
635000,2000,47.760982,-122.092659,0,1978,810,160,290,0,0
420000,1200,47.687826,-122.3488767,0,1900,0,0,0,0,120
659000,1320,47.5539881,-122.3821644,500,2018,0,120,0,0,0
903000,1530,47.6698443,-122.3583652,0,1927,0,0,180,0,0
761100,1810,47.6375573,-122.4019474,0,1950,460,350,0,100,70
425000,2070,47.3805363,-122.2792405,0,1976,800,310,0,0,0
369950,670,47.5685208,-122.3603439,180,2018,230,80,0,0,0
475000,2360,47.7739327,-122.3598797,0,1955,0,0,0,90,0
1540000,890,47.6789352,-122.2038307,0,1941,0,0,0,0,0
500000,1730,47.5587705,-122.2954994,0,1954,800,0,0,0,0
610000,2450,47.6304581,-122.0980676,1060,1967,0,0,0,0,200
1525000,2320,47.6726582,-122.2708105,1130,2018,0,0,0,0,70
489950,2334,47.352008,-122.136385,1350,2018,0,0,0,0,198
250000,1300,47.2938513,-122.2205381,0,1955,0,0,0,0,400
655000,1110,47.6833613,-122.3797309,0,1944,0,80,240,0,0
789950,3188,47.4361968,-122.1573894,1477,2019,0,0,0,0,25
300000,1280,47.5068428,-122.3483599,0,1959,0,0,0,0,0
865000,2880,47.5150437,-122.2005073,0,1970,1320,290,0,30,0
1519950,3100,47.6707095,-122.1746072,1750,2018,0,0,0,0,280
1650000,3220,47.6345474,-122.3029646,0,1924,320,290,0,0,0
1240000,2800,47.5505909,-122.2202224,1060,1961,0,0,670,0,0
725000,1810,47.662656,-122.351958,0,1921,0,0,220,0,80
700000,1260,47.6038126,-122.3115211,480,2018,320,470,0,0,0
766000,1220,47.6769718,-122.3904936,0,1945,0,50,310,0,0
610000,1790,47.6090955,-122.1249784,0,1958,570,0,620,0,0
480000,1660,47.541034,-122.3225301,640,2008,380,0,190,0,0
599000,1100,47.5999935,-122.3063704,380,2017,340,0,0,0,0
